state_fips,num_counties,hundred_counties
01,39,False
02,5,False
04,57,False
05,20,False
06,281,True
08,45,False
09,25,False
10,8,False
11,6,False
12,168,True
13,77,False
15,10,False
16,14,False
17,88,False
18,51,False
19,24,False
20,21,False
21,35,False
22,35,False
23,10,False
24,48,False
25,54,False
26,68,False
27,48,False
28,21,False
29,47,False
30,8,False
31,14,False
32,20,False
33,10,False
34,74,False
35,17,False
36,144,True
37,76,False
38,6,False
39,90,False
40,31,False
41,35,False
42,95,False
44,7,False
45,41,False
46,6,False
47,58,False
48,217,True
49,23,False
50,4,False
51,60,False
53,61,False
54,12,False
55,43,False
56,5,False
66,1,False
72,24,False
