identifier,foo,decoded_tags
4,928.5847053,"b'{""man_made"": ""manhole""}'"
666,926.0076082,"b'{""alt_name"": ""Clinton"", ""ele"": ""9"", ""gnis:feature_id"": ""2042281"", ""name"": ""Hell\'s Kitchen"", ""name:azb"": ""\\u0647\\u0644\\u0632 \\u06a9\\u06cc\\u0686\\u0646"", ""name:fa"": ""\\u0647\\u0644\\u0632 \\u06a9\\u06cc\\u0686\\u0646"", ""name:ja"": ""\\u30d8\\u30eb\\u30ba\\u30fb\\u30ad\\u30c3\\u30c1\\u30f3"", ""name:ko"": ""\\ud5ec\\uc2a4 \\ud0a4\\uce5c"", ""name:ru"": ""\\u0425\\u044d\\u043b\\u043b\\u0441-\\u041a\\u0438\\u0442\\u0447\\u0435\\u043d"", ""name:sr"": ""\\u0425\\u0435\\u043b\\u0441 \\u043a\\u0438\\u0447\\u0435\\u043d"", ""name:sr-Latn"": ""Hels ki\\u010den"", ""name:uk"": ""\\u0413\\u0435\\u043b\\u0441-\\u041a\\u0456\\u0442\\u0447\\u0435\\u043d"", ""name:zh"": ""\\u5730\\u7344\\u5eda\\u623f"", ""place"": ""neighbourhood""}'"
257588,910.468695,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
257842,910.4353308,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
257843,910.4352799,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
257852,910.4353407,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
257855,910.4252028,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
257859,910.4195409,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
257861,910.425197,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
257924,910.414214,"b'{""direction"": ""both"", ""highway"": ""stop"", ""stop"": ""all""}'"
257937,910.4182064,"b'{""direction"": ""both"", ""highway"": ""stop"", ""stop"": ""all""}'"
257941,910.4182211,"b'{""direction"": ""both"", ""highway"": ""stop"", ""stop"": ""all""}'"
258449,910.4353578,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
258455,910.4130591,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
281072,922.891744,"b'{""crossing"": ""traffic_signals"", ""crossing:continuous"": ""yes"", ""highway"": ""crossing""}'"
287913,922.8683417,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
362575,910.4864495,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
362683,910.4253523,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
373568,910.4343266,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
396019,910.4176517,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
396192,910.4197139,"b'{""direction"": ""both"", ""highway"": ""stop"", ""stop"": ""all""}'"
396234,910.4911481,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
400423,922.816027,"b'{""highway"": ""motorway_junction"", ""ref"": ""205"", ""start_date"": ""1972""}'"
400455,922.9084232,"b'{""highway"": ""motorway_junction"", ""ref"": ""211"", ""start_date"": ""1972""}'"
400479,922.9823246,"b'{""highway"": ""motorway_junction"", ""ref"": ""214"", ""start_date"": ""1972""}'"
403284,910.4710365,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
403317,910.4765417,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
403336,910.4804129,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
403337,910.4826757,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
646654,910.4354766,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
653656,881.6229459,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""traffic_lights"", ""traffic_signals:direction"": ""both""}'"
653693,881.58241,"b'{""highway"": ""traffic_signals"", ""source"": ""Bing"", ""traffic_signals"": ""traffic_lights""}'"
653844,882.18273,"b'{""highway"": ""motorway_junction"", ""milepost:county"": ""42.02"", ""milepost:state"": ""41.41"", ""ref"": ""41"", ""source"": ""usgs_imagery;CDOT""}'"
660548,883.8271414,"b'{""ford"": ""yes""}'"
667802,882.5661755,"b'{""highway"": ""motorway_junction"", ""milepost:county"": ""12.84"", ""milepost:state"": ""119.38"", ""ref"": ""119"", ""source"": ""bing_imagery_0.25m_200601;survey;image"", ""source_ref"": ""AM909_DSCX0016""}'"
667816,882.489262,"b'{""highway"": ""motorway_junction"", ""milepost:county"": ""11.65"", ""milepost:state"": ""63.80"", ""ref"": ""64A"", ""source"": ""bing_imagery_0.06m_200706;survey;image"", ""source_ref"": ""AM909_DSCY2058"", ""towards"": ""Barstow;San Diego""}'"
667855,882.3002154,"b'{""highway"": ""motorway_junction"", ""milepost:county"": ""51.91"", ""milepost:state"": ""51.91"", ""ref"": ""52"", ""source"": ""bing_imagery_0.06m_200801;survey;image"", ""source_ref"": ""AM909_DSCW8605""}'"
667885,882.2098865,"b'{""highway"": ""motorway_junction"", ""milepost:county"": ""46.66"", ""milepost:state"": ""46.66"", ""ref"": ""47"", ""source"": ""bing_imagery_0.06m_200801;survey;image"", ""source_ref"": ""AM909_DSCP7534"", ""towards"": ""La Verne""}'"
667897,882.1630599,"b'{""highway"": ""motorway_junction"", ""is_in:state_code"": ""CA"", ""note:ref"": ""missing from Caltrans list"", ""old_ref"": ""45"", ""ref"": ""44A"", ""source"": ""bing_imagery_0.06m_200801;survey;image"", ""source_ref"": ""AM909_IMG_0353"", ""towards"": ""Santa Ana""}'"
667918,882.1205032,"b'{""highway"": ""motorway_junction"", ""is_in:state_code"": ""CA"", ""ref"": ""42"", ""source"": ""bing_imagery_0.06m_200801;survey;image"", ""source_ref"": ""AM909_DSCW8547"", ""towards"": ""Glendora""}'"
667922,882.1055274,"b'{""highway"": ""motorway_junction"", ""is_in:state_code"": ""CA"", ""ref"": ""41"", ""source"": ""bing_imagery_0.06m_200801;survey;image;CDOT"", ""source_ref"": ""AM909_DSCW8544"", ""towards"": ""Covina""}'"
668095,883.0001835,"b'{""highway"": ""traffic_signals"", ""traffic_signals:direction"": ""both""}'"
668142,882.0003381,"b'{""highway"": ""motorway_junction"", ""ref"": ""22"", ""source"": ""bing_imagery_0.06m_200801;survey;image;CDOT"", ""source_ref"": ""AM909_IMG_0177"", ""towards"": ""San Bernardino;Los Angeles""}'"
668183,881.895591,"b'{""highway"": ""motorway_junction"", ""unsigned_ref"": ""9C""}'"
668259,881.6229549,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""traffic_lights"", ""traffic_signals:direction"": ""both""}'"
668267,881.6002227,"b'{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}'"
670761,883.135389,"b'{""gnis:feature_id"": ""1660414"", ""historic"": ""yes"", ""name"": ""Calico Ghost Town"", ""place"": ""locality"", ""wikidata"": ""Q526354"", ""wikipedia"": ""en:Calico, California""}'"
